track_id,title,genre,key_and_mode
001046,Eulb,Blues,G minor
059173,She Gets All That She Wants,Blues,C# Major
001045,Baltimore Raven,Blues,D# Major
050892,Slow Burn,Blues,A minor
050891,Dirt Rhodes,Blues,E minor
059068,"Brownie, You're Doing a Heck of a Job",Classical,C minor
065673,Variatio 9 a 1 Clav. Canone alla Terza,Classical,G Major
065671,Variatio 11 a 2 Clav.,Classical,G Major
065669,Variatio 13 a 2 Clav.,Classical,G Major
065660,Variatio 22 a 1 Clav,Classical,G Major
014908,Quit Barking at Me,Country,G Major
014954,Circus Clown,Country,E Major
014942,Muleskinner,Country,A Major
013912,I Want To Be A Cowboy's Sweetheart,Country,G Major
014014,Good BBQ,Country,E Major
098993,Glow Slowly,Electronic,E minor
105674,Outro,Electronic,A minor
067464,Lucky,Electronic,G Major
071957,My school,Electronic,E minor
063966,Insomnia,Electronic,F minor
089188,The Test,Hip-Hop,C Major
075381,Peaceburgh,Hip-Hop,A minor
095911,blood clot lunch,Hip-Hop,F minor
030033,The Skies Don't Lie! (But I Does),Hip-Hop,D minor
063768,Freshin Up Your Taste,Hip-Hop,D# Major
047035,Yellow,Jazz,C Major
083642,la mar,Jazz,E Major
017439,The Infinite Infiniteness of Infinity,Jazz,C# minor
083646,Silenci,Jazz,G Major
083647,Fez,Jazz,G minor
067334,Spears,Pop,E Major
026178,The Club,Pop,F Major
076129,942 Miles,Pop,D minor
046842,I Can't Without You,Pop,B minor
029047,Friends Forget,Pop,G# Major
112313,Parliament,Rock,A Major
069781,Secret Wave,Rock,B Major
114198,"From The Outside, Looking In",Rock,D minor
004401,Bums On a Rock,Rock,E Major
068916,Numb (ft. Broto Verbo),Rock,F minor
