track_id,genre,bpm
6655,Electronic,126.956
20447,Rock,141.214
35456,Jazz,130.003
6662,Electronic,102.988
18197,Rock,110.4
4787,Rock,167.849
66851,Electronic,169.985
37726,Rock,135.006
27569,Electronic,137.958
115386,Electronic,187.541
76500,Rock,116.917
26018,Hip-Hop,74.411
16023,Blues,105.322
15857,Hip-Hop,152.889
50369,Jazz,119.533
28118,Classical,35.982
55550,Hip-Hop,112.048
11777,Hip-Hop,83.993
4683,Hip-Hop,87.88
13197,Pop,116.015
48403,Classical,122.387
47755,Jazz,137.971
77572,Pop,120.039
13328,Pop,114.867
16237,Jazz,82.584
14053,Jazz,240.122
1649,Pop,241.259
21799,Blues,89.543
11397,Classical,111.184
23141,Classical,89.984
10806,Pop,46.701
11758,Classical,101.372
19133,Blues,155.13
1047,Blues,97.098
21800,Blues,118.774
