track_id,title,genre,key_and_mode
1046,Eulb,Blues,G minor
59173,She Gets All That She Wants,Blues,C# Major
1045,Baltimore Raven,Blues,D# Major
50892,Slow Burn,Blues,A minor
50891,Dirt Rhodes,Blues,E minor
59068,"Brownie, You're Doing a Heck of a Job",Classical,C minor
65673,Variatio 9 a 1 Clav. Canone alla Terza,Classical,G Major
65671,Variatio 11 a 2 Clav.,Classical,G Major
65669,Variatio 13 a 2 Clav.,Classical,G Major
65660,Variatio 22 a 1 Clav,Classical,G Major
14908,Quit Barking at Me,Country,G Major
14954,Circus Clown,Country,E Major
14942,Muleskinner,Country,A Major
13912,I Want To Be A Cowboy's Sweetheart,Country,G Major
14014,Good BBQ,Country,E Major
98993,Glow Slowly,Electronic,E minor
105674,Outro,Electronic,A minor
67464,Lucky,Electronic,G Major
71957,My school,Electronic,E minor
63966,Insomnia,Electronic,F minor
89188,The Test,Hip-Hop,C Major
75381,Peaceburgh,Hip-Hop,A minor
95911,blood clot lunch,Hip-Hop,F minor
30033,The Skies Don't Lie! (But I Does),Hip-Hop,D minor
63768,Freshin Up Your Taste,Hip-Hop,D# Major
47035,Yellow,Jazz,C Major
83642,la mar,Jazz,E Major
17439,The Infinite Infiniteness of Infinity,Jazz,C# minor
83646,Silenci,Jazz,G Major
83647,Fez,Jazz,G minor
67334,Spears,Pop,E Major
26178,The Club,Pop,F Major
76129,942 Miles,Pop,D minor
46842,I Can't Without You,Pop,B minor
29047,Friends Forget,Pop,G# Major
112313,Parliament,Rock,A Major
69781,Secret Wave,Rock,B Major
114198,"From The Outside, Looking In",Rock,D minor
4401,Bums On a Rock,Rock,E Major
68916,Numb (ft. Broto Verbo),Rock,F minor
