track_id,title,genre,key_and_mode,track_id_padded,audio_path
1046,Eulb,Blues,G minor,001046,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\001\001046.mp3
59173,She Gets All That She Wants,Blues,C# Major,059173,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\059\059173.mp3
1045,Baltimore Raven,Blues,D# Major,001045,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\001\001045.mp3
50892,Slow Burn,Blues,A minor,050892,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\050\050892.mp3
50891,Dirt Rhodes,Blues,E minor,050891,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\050\050891.mp3
59068,"Brownie, You're Doing a Heck of a Job",Classical,C minor,059068,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\059\059068.mp3
65673,Variatio 9 a 1 Clav. Canone alla Terza,Classical,G Major,065673,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\065\065673.mp3
65671,Variatio 11 a 2 Clav.,Classical,G Major,065671,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\065\065671.mp3
65669,Variatio 13 a 2 Clav.,Classical,G Major,065669,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\065\065669.mp3
65660,Variatio 22 a 1 Clav,Classical,G Major,065660,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\065\065660.mp3
14908,Quit Barking at Me,Country,G Major,014908,C:\Users\kianc\Documents\Uni\Year 3\Final Year Project\MVP\pipeline\FYP\data\ground_truth\fma_medium\fma_medium\014\014908.mp3
